,n_splits,train_size,rmse_tr,r2_tr,mae_tr,rmse_tt,r2_tt,mae_tt
4862,24.0,120.0,14.127324669114977,0.9602283361149236,11.272780813089886,116598768723.93842,-10.95839125200407,78583581918.47641
4872,24.0,130.0,14.869829910118362,0.960001487141435,11.880155451475153,116598768724.02245,-17.196030358908583,78583581918.48642
4852,24.0,110.0,13.425899258081904,0.9618770340318109,10.767670897079322,116598768724.02913,-7.744684943338527,78583581918.03676
4891,24.0,149.0,16.432303560112462,0.9624039119674365,13.135136834020825,116598768724.19794,-10.10372350303581,78583581917.903
4845,24.0,103.0,13.012836055998775,0.9632369574879446,10.499692891285862,116598768724.22351,-26.565339580347644,78583581918.75108
4892,24.0,150.0,16.441945955329047,0.9631694844447184,13.155506999872236,116598768724.25957,-10.05508221504564,78583581917.86092
4890,24.0,148.0,16.390178842598498,0.9619249849158109,13.08350138882471,116598768724.30573,-10.204113704746588,78583581918.1393
4870,24.0,128.0,14.696913325708437,0.9600587543648275,11.743967515153491,116598768724.35236,-12.756424614773588,78583581918.81386
4889,24.0,147.0,16.334393941701077,0.9617025979519022,13.019191123666097,116598768724.36646,-10.390700025729231,78583581918.36534
4894,24.0,152.0,16.447697509218177,0.9647346228193884,13.176786543489726,116598768724.37541,-10.010276417228892,78583581917.89844
4893,24.0,151.0,16.443162046972024,0.9639545437135665,13.168398943115854,116598768724.38966,-10.042494309215508,78583581917.93648
4895,24.0,153.0,16.48278462646223,0.965334835141034,13.19621984253631,116598768724.4021,-10.057631620628626,78583581917.93442
4879,24.0,137.0,15.499564963386916,0.9602771401466145,12.366855004584119,116598768724.4574,-16.50558578937623,78583581919.1284
4871,24.0,129.0,14.775306152501882,0.9599978889408266,11.81810333571095,116598768724.51247,-14.540922606866685,78583581918.9506
4896,24.0,154.0,16.540904314698565,0.9657370239313582,13.229634680182725,116598768724.71724,-10.230936774098607,78583581918.32576
4861,24.0,119.0,14.058583920043304,0.9601581906429736,11.216250881426552,116598768724.77942,-11.397282522490485,78583581919.32222
4860,24.0,118.0,13.94792603359538,0.9605232068738644,11.116332169143783,116598768724.79395,-11.045839450864072,78583581919.3962
4858,24.0,116.0,13.742804896854274,0.9612217906746682,10.961950904757023,116598768724.80128,-9.844730222766218,78583581919.44489
