date,Total US RigCount,wti_spot_lag_14__benford_correlation,oecd_cons_smooth__benford_correlation,wti_fut_4__benford_correlation,wti_spot__benford_correlation,usa_net_import__benford_correlation,opec_surp_capac__range_count__max_1__min_-1,usa_l48_prod__abs_energy,brent_spot__benford_correlation,opec_surp_capac__abs_energy,wti_spot_lag_14,brent_spot,usa_net_import,usa_l48_prod,opec_surp_capac
2018-03-23,804.0,-0.14527956152245,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,0.0,98.34688899999999,-0.20094583070946112,4.028437460978147,57.168000000000006,67.396,6.57,9.917,2.007096774193548
2018-03-16,800.0,-0.14527956152245,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.14527956152245,0.0,97.85166399999999,-0.20094583070946112,4.01937825182102,56.916,64.138,5.504,9.892,2.0048387096774194
2018-03-09,796.0,-0.14527956152245,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,0.0,97.456384,-0.20094583070946112,4.01032924037461,57.812,65.11999999999999,6.098,9.872,2.00258064516129
2018-03-02,800.0,-0.14527956152245,-0.14527956152245,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,0.0,97.06190400000001,-0.20094583070946112,4.001290426638916,57.4675,66.024,6.505,9.852,2.000322580645161
2018-02-23,799.0,-0.14527956152245,-0.14527956152245,-0.20094583070946112,-0.20094583070946112,-0.14527956152245,0.0,95.491984,-0.20094583070946112,3.8893474489795903,55.81399999999999,65.52000000000001,5.8370000000000015,9.772,1.9721428571428568
2018-02-16,798.0,-0.14527956152245,-0.14527956152245,-0.14527956152245,-0.20094583070946112,-0.06461440727816897,0.0,95.29664400000001,-0.20094583070946112,3.762214413265305,57.052,62.718,4.977,9.762,1.9396428571428568
2018-02-09,791.0,-0.14527956152245,-0.14527956152245,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,0.0,95.10150400000002,-0.20094583070946112,3.6371938775510206,54.593999999999994,65.49600000000001,6.566,9.752,1.9071428571428573
2018-02-02,765.0,-0.14527956152245,-0.14527956152245,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,0.0,94.614529,-0.20094583070946112,3.514285841836735,52.50599999999999,68.00399999999999,6.605,9.727,1.8746428571428573
2018-01-26,759.0,-0.14527956152245,-0.14527956152245,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,0.0,88.58574400000002,-0.24168999331500296,3.453602601456816,51.74,70.03999999999999,6.665,9.412,1.8583870967741936
2018-01-19,747.0,-0.14527956152245,-0.14527956152245,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,0.0,87.834384,-0.20094583070946112,3.403429864724248,50.77,69.388,6.63,9.372,1.84483870967742
2018-01-12,752.0,-0.14527956152245,-0.14527956152245,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,0.0,85.488516,-0.20094583070946112,3.353624245577522,50.232,69.47,6.7010000000000005,9.246,1.8312903225806447
2018-01-05,742.0,-0.14527956152245,-0.14527956152245,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,0.0,80.62244099999998,-0.20094583070946112,3.304185744016649,51.774,67.81,6.643,8.979,1.8177419354838709
2017-12-29,747.0,-0.14527956152245,-0.14527956152245,-0.14527956152245,-0.14527956152245,-0.20094583070946112,0.0,85.96998400000001,-0.20094583070946112,3.3607168574401665,50.124,66.52,6.4910000000000005,9.272,1.833225806451613
2017-12-22,747.0,-0.06461440727816897,-0.14527956152245,-0.14527956152245,-0.14527956152245,-0.20094583070946112,0.0,85.507009,-0.20094583070946112,3.5623518210197713,49.066,64.36399999999999,6.783,9.247,1.8874193548387097
2017-12-15,747.0,-0.06461440727816897,-0.14527956152245,-0.14527956152245,-0.14527956152245,-0.14527956152245,0.0,85.95144100000002,-0.20094583070946112,3.769860665972945,48.575,64.354,5.976,9.271,1.9416129032258065
2017-12-08,751.0,-0.06461440727816897,-0.14527956152245,-0.14527956152245,-0.14527956152245,-0.20094583070946112,0.0,85.673536,-0.20094583070946112,3.98324339229969,46.67999999999999,63.076,6.277,9.256,1.9958064516129037
2017-12-01,749.0,-0.06461440727816897,-0.14527956152245,-0.14527956152245,-0.14527956152245,-0.14527956152245,0.0,84.47448100000001,-0.20094583070946112,4.2025,47.676,63.73,5.8439999999999985,9.191,2.05
